N,first 4150,second 4150
1,0.93493975903614457,0.96867469879518076
2,1.0265060240963855,1.0216867469879518
3,1.0891566265060242,1.2626506024096384
4,1.0120481927710843,1.036144578313253
5,0.81927710843373491,0.86265060240963853
6,1.344578313253012,1.1855421686746987
7,1.0939759036144578,1.0795180722891566
8,0.89638554216867472,0.944578313253012
9,0.97831325301204819,0.97831325301204819
10,0.79518072289156627,0.91566265060240959
11,0.95903614457831321,0.95903614457831321
12,1.2048192771084338,0.95421686746987955
13,0.81927710843373491,0.68915662650602405
14,1.0650602409638554,0.9301204819277108
15,0.95421686746987955,0.91566265060240959
16,0.93975903614457834,0.89156626506024095
17,1.2433734939759036,1.3156626506024096
18,1.0939759036144578,1.1710843373493975
19,0.9927710843373494,1.0216867469879518
20,0.73734939759036144,0.89638554216867472
