side,p,p_5,p_95
1,0.12163,0.11230,0.13129
2,0.19760,0.18592,0.20928
3,0.17461,0.16295,0.18627
4,0.13895,0.12829,0.14963
5,0.23725,0.22493,0.24993
6,0.12996,0.11963,0.13929
