side,p,ci_low,ci_high
1,0.05058,0.04490,0.05626
2,0.05703,0.05135,0.06348
3,0.01548,0.01239,0.01859
4,0.04413,0.03870,0.04955
5,0.05858,0.05187,0.06477
6,0.06219,0.05626,0.06916
7,0.05342,0.04748,0.05910
8,0.07045,0.06348,0.07717
9,0.05600,0.05006,0.06194
10,0.04000,0.03484,0.04542
11,0.05858,0.05239,0.06477
12,0.06090,0.05497,0.06761
13,0.06039,0.05419,0.06606
14,0.05265,0.04697,0.05884
15,0.05445,0.04826,0.06039
16,0.04542,0.04000,0.05058
17,0.01394,0.01110,0.01729
18,0.03948,0.03458,0.04465
19,0.05110,0.04542,0.05703
20,0.05523,0.04929,0.06116
