side,p,ci_low,ci_high
1,0.17867,0.16267,0.19467
2,0.15267,0.13800,0.16800
3,0.15867,0.14400,0.17533
4,0.17200,0.15730,0.18933
5,0.15467,0.13933,0.17003
6,0.18333,0.16667,0.19933
