side,p,ci_low,ci_high
1,0.04517,0.03979,0.05078
2,0.05518,0.04932,0.06079
3,0.05640,0.05054,0.06177
4,0.05151,0.04590,0.05714
5,0.03735,0.03247,0.04224
6,0.06616,0.05981,0.07251
7,0.05176,0.04662,0.05763
8,0.04761,0.04199,0.05322
9,0.04980,0.04419,0.05518
10,0.04297,0.03760,0.04810
11,0.04883,0.04344,0.05444
12,0.05420,0.04810,0.05981
13,0.03882,0.03394,0.04395
14,0.05054,0.04517,0.05640
15,0.04419,0.03906,0.04982
16,0.04614,0.04028,0.05176
17,0.06250,0.05640,0.06885
18,0.05664,0.05078,0.06250
19,0.05029,0.04468,0.05566
20,0.04395,0.03881,0.04932
