side,p,ci_low,ci_high
1,0.04443,0.03711,0.05225
2,0.05908,0.05029,0.06787
3,0.05322,0.04541,0.06104
4,0.05078,0.04346,0.05859
5,0.03857,0.03174,0.04639
6,0.06738,0.05859,0.07617
7,0.05029,0.04248,0.05811
8,0.04932,0.04150,0.05713
9,0.04932,0.04197,0.05811
10,0.04004,0.03271,0.04736
11,0.05420,0.04639,0.06252
12,0.05273,0.04492,0.06104
13,0.03809,0.03076,0.04541
14,0.05273,0.04492,0.06055
15,0.05176,0.04395,0.06006
16,0.04443,0.03711,0.05225
17,0.05957,0.05176,0.06787
18,0.05371,0.04590,0.06201
19,0.04736,0.04004,0.05518
20,0.04297,0.03564,0.05029
