side,p,ci_low,ci_high
1,0.13281,0.08594,0.17969
2,0.15625,0.10156,0.21094
3,0.10156,0.06250,0.14844
4,0.14844,0.10156,0.20312
5,0.12500,0.07812,0.17969
6,0.09375,0.05469,0.14062
7,0.12500,0.07812,0.17188
8,0.11719,0.07031,0.16406
