side,p,ci_low,ci_high
1,0.07154,0.06334,0.07936
2,0.07004,0.06222,0.07861
3,0.10693,0.09762,0.11773
4,0.06967,0.06220,0.07750
5,0.08122,0.07265,0.08979
6,0.07079,0.06259,0.07861
7,0.10432,0.09501,0.11475
8,0.09836,0.08942,0.10842
9,0.11028,0.10097,0.11960
10,0.08271,0.07340,0.09203
11,0.09613,0.08718,0.10544
12,0.03800,0.03240,0.04434
