side,p,ci_low,ci_high
1,0.18067,0.16400,0.19733
2,0.13467,0.12067,0.14937
3,0.17800,0.16067,0.19467
4,0.17600,0.16063,0.19133
5,0.16600,0.15133,0.18267
6,0.16467,0.14933,0.17933
