side,p,ci_low,ci_high
1,0.12500,0.11740,0.13320
2,0.18480,0.17540,0.19401
3,0.17060,0.16260,0.17941
4,0.21580,0.20579,0.22560
5,0.16520,0.15619,0.17380
6,0.13860,0.13100,0.14700
