side,p,ci_low,ci_high
1,0.11600,0.10267,0.13000
2,0.18600,0.16933,0.20207
3,0.15533,0.14000,0.17067
4,0.21933,0.20200,0.23733
5,0.17600,0.15997,0.19200
6,0.14733,0.13267,0.16200
