side,p,ci_low,ci_high
1,0.16150,0.14900,0.17550
2,0.17200,0.15800,0.18502
3,0.16450,0.15100,0.17900
4,0.17350,0.15950,0.18700
5,0.16150,0.14800,0.17700
6,0.16700,0.15297,0.18052
