side,p,ci_low,ci_high
1,0.07802,0.07314,0.08290
2,0.07364,0.06864,0.07877
3,0.09515,0.09014,0.10028
4,0.08215,0.07714,0.08715
5,0.08165,0.07714,0.08677
6,0.07377,0.06914,0.07878
7,0.09540,0.08965,0.10078
8,0.09852,0.09302,0.10403
9,0.09515,0.08977,0.10065
10,0.07652,0.07151,0.08140
11,0.08777,0.08251,0.09302
12,0.06227,0.05764,0.06665
