side,p,ci_low,ci_high
1,0.05078,0.04004,0.06152
2,0.06250,0.05078,0.07520
3,0.05566,0.04492,0.06743
4,0.04395,0.03413,0.05469
5,0.03711,0.02734,0.04688
6,0.07422,0.06152,0.08789
7,0.04688,0.03711,0.05864
8,0.04297,0.03320,0.05371
9,0.04688,0.03613,0.05664
10,0.03906,0.02930,0.04883
11,0.04395,0.03320,0.05469
12,0.05176,0.04004,0.06445
13,0.04492,0.03516,0.05664
14,0.05664,0.04395,0.06934
15,0.04980,0.03906,0.06060
16,0.04102,0.03027,0.05078
17,0.06934,0.05664,0.08203
18,0.04980,0.03906,0.06152
19,0.05176,0.04004,0.06348
20,0.04102,0.03125,0.05176
