side,p,ci_low,ci_high
1,0.04297,0.02344,0.06641
2,0.08984,0.06250,0.12109
3,0.04688,0.02734,0.07031
4,0.05859,0.03516,0.08594
5,0.02734,0.01172,0.04297
6,0.08984,0.06250,0.12109
7,0.04688,0.02734,0.07031
8,0.03906,0.01953,0.05859
9,0.05078,0.03125,0.07422
10,0.03516,0.01953,0.05469
11,0.02734,0.01172,0.04297
12,0.04297,0.02344,0.06641
13,0.05078,0.02734,0.07422
14,0.06641,0.04297,0.09375
15,0.06641,0.04297,0.08984
16,0.01953,0.00781,0.03516
17,0.08203,0.05469,0.10957
18,0.04297,0.02344,0.06641
19,0.05469,0.03516,0.07812
20,0.01953,0.00781,0.03516
