X,p(X),5%,95%
1,0.16150,0.14797,0.17600
2,0.17200,0.15900,0.18650
3,0.16450,0.15047,0.17850
4,0.17350,0.16000,0.18800
5,0.16150,0.14800,0.17600
6,0.16700,0.15350,0.18050
