X,p(X),5%,95%
1,0.16633,0.15274,0.18043
2,0.16884,0.15528,0.18141
3,0.15477,0.14121,0.16884
4,0.17487,0.16131,0.18794
5,0.15879,0.14520,0.17186
6,0.17638,0.16332,0.19048
