N,16,32,64,128,256,512,1024,2048,4096,7998
1,0.625,0.375,0.75,0.9453125,0.75,0.75,1.04296875,0.826171875,0.9404296875,0.93623405851462871
2,0.0,1.875,0.5625,0.7734375,0.9375,0.984375,0.92578125,0.890625,0.8759765625,0.88372093023255816
3,1.25,1.5,0.75,1.6328125,1.03125,1.359375,1.078125,1.1484375,1.189453125,1.1417854463615904
4,1.25,1.5,1.6875,0.6875,1.03125,1.0078125,0.90234375,1.01953125,0.99609375,0.98574643660915229
5,0.625,0.375,0.9375,1.1171875,1.21875,1.078125,1.078125,0.97265625,0.955078125,0.97974493623405856
6,0.625,0.375,1.125,0.9453125,0.984375,0.703125,0.71484375,0.978515625,0.873046875,0.88522130532633159
7,1.875,1.5,0.375,1.375,0.84375,1.0546875,1.21875,1.21875,1.1513671875,1.1447861965491373
8,0.625,1.5,1.125,0.6875,1.265625,1.171875,1.18359375,1.16015625,1.125,1.1822955738934733
9,1.875,1.125,2.25,0.9453125,1.078125,1.21875,1.04296875,1.13671875,1.125,1.1417854463615904
10,0.0,1.125,0.75,1.1171875,0.984375,0.65625,0.87890625,0.919921875,0.9404296875,0.91822955738934731
11,0.625,0.375,0.75,0.0,0.890625,1.0546875,1.25390625,1.06640625,1.0693359375,1.0532633158289573
12,0.625,0.375,0.9375,0.7734375,0.984375,0.9609375,0.6796875,0.662109375,0.7587890625,0.74718679669917476
