X,p(X),5%,95%
2,0.02686,0.02260,0.03176
3,0.05588,0.04726,0.06558
4,0.08140,0.06857,0.09576
5,0.11149,0.09412,0.13087
6,0.13734,0.11583,0.16130
7,0.16646,0.14055,0.19536
8,0.13999,0.11836,0.16399
9,0.11065,0.09336,0.12986
10,0.08545,0.07238,0.09998
11,0.05500,0.04646,0.06455
12,0.02946,0.02507,0.03438
